timestamp,device_0,device_1,device_2,device_3
1681385723130454148,100,100,100,100
1681385723132140896,100,100,100,100
1681385723133884532,100,100,100,100
1681385723135630173,100,100,100,100
1681385723137312904,100,100,100,100
1681385723138997380,100,100,100,100
1681385723140680323,100,100,100,100
1681385723142377798,100,100,100,100
1681385723144093884,100,100,100,100
1681385723145786402,100,100,100,100
1681385723147475223,100,100,100,100
1681385723149231610,100,100,100,100
1681385723150912504,100,100,100,100
1681385723152709470,100,100,100,100
1681385723154411438,100,100,100,100
1681385723156189690,100,100,100,100
1681385723157886113,100,100,100,100
1681385723159577187,100,100,100,100
1681385723161261339,100,100,100,100
1681385723162945724,100,100,100,100
1681385723164658261,100,100,100,100
1681385723166354855,100,100,100,100
1681385723168035099,100,100,100,100
1681385723169725060,100,100,100,100
1681385723171423770,100,100,100,100
1681385723173166795,100,100,100,100
1681385723174921440,100,100,100,100
1681385723176609571,100,100,100,100
1681385723178300846,100,100,100,100
1681385723179982018,100,100,100,100
1681385723181670708,100,100,100,100
1681385723183356700,100,100,100,100
1681385723185094034,100,100,100,100
1681385723186776550,100,100,100,100
1681385723188458155,100,100,100,100
1681385723190259400,100,100,100,100
1681385723191947066,100,100,100,100
1681385723193647366,100,100,100,100
1681385723195381027,100,100,100,100
1681385723197070582,100,100,100,100
1681385723198751456,100,100,100,100
1681385723200435654,100,100,100,100
1681385723202128450,100,100,100,100
1681385723203816822,100,100,100,100
1681385723205555433,100,100,100,100
1681385723207234920,100,100,100,100
1681385723209017372,100,100,100,100
1681385723210699578,100,100,100,100
1681385723212389171,100,100,100,100
1681385723214138303,100,100,100,100
1681385723215879864,100,100,100,100
1681385723217572288,100,100,100,100
1681385723219259660,100,100,100,100
1681385723220944580,100,100,100,100
1681385723222663851,100,100,100,100
1681385723224421941,100,100,100,100
1681385723226117453,100,100,100,100
1681385723227891881,100,100,100,100
1681385723229690032,100,100,100,100
1681385723231367156,100,100,100,100
1681385723233076934,100,100,100,100
1681385723234759852,100,100,100,100
1681385723236445358,100,100,100,100
1681385723238140998,100,100,100,100
1681385723239829034,100,100,100,100
1681385723241560313,100,100,100,100
1681385723243244869,100,100,100,100
1681385723244982596,100,100,100,100
1681385723246666037,100,100,100,100
1681385723248336181,100,100,100,100
1681385723250075283,100,100,100,100
1681385723251739272,100,100,100,100
1681385723253429570,100,100,100,100
1681385723255132314,100,100,100,100
1681385723256800385,100,100,100,100
1681385723258501784,100,100,100,100
1681385723260221108,100,100,100,100
1681385723261954628,100,100,100,100
1681385723263672106,100,100,100,100
1681385723265402729,100,100,100,100
1681385723267133698,100,100,100,100
1681385723268860687,100,100,100,100
1681385723270579883,100,100,100,100
1681385723272274117,100,100,100,100
1681385723274051149,100,100,100,100
1681385723275793554,100,100,100,100
1681385723277486837,100,100,100,100
1681385723279184094,100,100,100,100
1681385723280944205,100,100,100,100
1681385723282632376,100,100,100,100
1681385723284319149,100,100,100,100
1681385723286019966,100,100,100,100
1681385723287797103,100,100,100,100
1681385723289504947,100,100,100,100
1681385723291193019,100,100,100,100
1681385723292894600,100,100,100,100
1681385723294574970,100,100,100,100
1681385723296312578,100,100,100,100
1681385723298004497,100,100,100,100
1681385723299695760,100,100,100,100
1681385723301376000,100,100,100,100
1681385723303120476,100,100,100,100
1681385723304810876,100,100,100,100
1681385723306485220,100,100,100,100
1681385723308176300,100,100,100,100
1681385723309885613,100,100,100,100
1681385723311574819,100,100,100,100
1681385723313269928,100,100,100,100
1681385723314951919,100,100,100,100
1681385723316638939,100,100,100,100
1681385723318329086,100,100,100,100
1681385723320015576,100,100,100,100
1681385723321702436,100,100,100,100
1681385723323494423,100,100,100,100
1681385723325344981,100,100,100,100
1681385723327032254,100,100,100,100
1681385723328744452,100,100,100,100
1681385723330452441,100,100,100,100
1681385723332111178,100,100,100,100
1681385723333815119,100,100,100,100
1681385723335497145,100,100,100,100
1681385723337161351,100,100,100,100
1681385723338833382,100,100,100,100
1681385723340527766,100,100,100,100
1681385723342220730,100,100,100,100
1681385723343957607,100,100,100,100
1681385723345660712,100,100,100,100
1681385723347347326,100,100,100,100
1681385723349071912,100,100,100,100
1681385723350796691,100,100,100,100
1681385723352466987,100,100,100,100
1681385723354226049,100,100,100,100
1681385723356007243,100,100,100,100
1681385723357674839,100,100,100,100
1681385723359336833,100,100,100,100
1681385723361017414,100,100,100,100
1681385723362716366,100,100,100,100
1681385723364406469,100,100,100,100
1681385723366096655,100,100,100,100
1681385723367780459,100,100,100,100
1681385723369462431,100,100,100,100
1681385723371153289,100,100,100,100
1681385723372916542,100,100,100,100
1681385723374760160,100,100,100,100
1681385723376497972,100,100,100,100
1681385723378202250,100,100,100,100
1681385723379904301,100,100,100,100
1681385723381612127,100,100,100,100
1681385723383324953,100,100,100,100
1681385723385036519,100,100,100,100
1681385723386841913,100,100,100,100
1681385723388547609,100,100,100,100
1681385723390417153,100,100,100,100
1681385723392199022,100,100,100,100
1681385723394157622,100,100,100,100
1681385723395874338,100,100,100,100
1681385723397556815,100,100,100,100
1681385723399248893,100,100,100,100
1681385723400941428,100,100,100,100
1681385723402761366,100,100,100,100
1681385723404458426,100,100,100,100
1681385723406151490,100,100,100,100
1681385723407840179,100,100,100,100
1681385723409521917,100,100,100,100
1681385723411206212,100,100,100,100
1681385723412891274,100,100,100,100
1681385723414714796,100,100,100,100
1681385723416402043,100,100,100,100
1681385723418077638,100,100,100,100
1681385723419749837,100,100,100,100
1681385723421407505,100,100,100,100
1681385723423070333,100,100,100,100
1681385723424868871,100,100,100,100
1681385723426560011,100,100,100,100
1681385723428245869,100,100,100,100
1681385723429965548,100,100,100,100
1681385723431653860,100,100,100,100
1681385723433364266,100,100,100,100
1681385723435053269,100,100,100,100
1681385723436744490,100,100,100,100
1681385723438431293,100,100,100,100
1681385723440128905,100,100,100,100
1681385723441831134,100,100,100,100
1681385723443512929,100,100,100,100
1681385723445200467,100,100,100,100
1681385723446887053,100,100,100,100
1681385723448600320,100,100,100,100
1681385723450578241,100,100,100,100
1681385723452446832,100,100,100,100
1681385723454379951,100,100,100,100
1681385723456248715,100,100,100,100
1681385723458138266,100,100,100,100
1681385723460025281,100,100,100,100
1681385723461910388,100,100,100,100
1681385723463780659,100,100,100,100
1681385723465698049,100,100,100,100
1681385723467551010,100,100,100,100
1681385723469416523,100,100,100,100
1681385723471297165,100,100,100,100
1681385723473190143,100,100,100,100
1681385723475032793,100,100,100,100
1681385723476891120,100,100,100,100
1681385723478796532,100,100,100,100
1681385723481461985,100,100,100,100
1681385723483309815,100,100,100,100
1681385723485251558,100,100,100,100
1681385723487158202,100,100,100,100
1681385723489060550,100,100,100,100
1681385723491049408,100,100,100,100
1681385723492955272,100,100,100,100
1681385723494870947,100,100,100,100
1681385723498337272,100,100,100,100
1681385723500205211,100,100,100,100
1681385723502134782,100,100,100,100
1681385723504074160,100,100,100,100
1681385723506046484,100,100,100,100
1681385723507968101,100,100,100,100
1681385723509947172,100,100,100,100
1681385723511839900,100,100,100,100
1681385723514245327,100,100,100,100
1681385723516523776,100,100,100,100
1681385723518694680,100,100,100,100
1681385723583968261,100,100,100,100
1681385723649485630,100,100,100,100
1681385723651897355,100,100,100,100
1681385723653842578,100,100,100,100
1681385723655763960,100,100,100,100
1681385723657687815,100,100,100,100
1681385723659821192,100,100,100,100
1681385723661727508,100,100,100,100
1681385723663634989,100,100,100,100
1681385723665277061,100,100,100,100
1681385723666891716,100,100,100,100
1681385723668506285,100,100,100,100
1681385723670141400,100,100,100,100
1681385723671757222,100,100,100,100
1681385723673458973,100,100,100,100
1681385723675145051,100,100,100,100
1681385723676886416,100,100,100,100
1681385723678553659,100,100,100,100
1681385723680256954,100,100,100,100
1681385723681959999,100,100,100,100
1681385723683642450,100,100,100,100
1681385723685367854,100,100,100,100
1681385723687146498,100,100,100,100
1681385723688842605,100,100,100,100
1681385723690649922,100,100,100,100
1681385723692343905,100,100,100,100
1681385723694154512,100,100,100,100
1681385723695861102,100,100,100,100
1681385723697619218,100,100,100,100
1681385723699292821,100,100,100,100
1681385723700977457,100,100,100,100
1681385723702639146,100,100,100,100
1681385723704306760,100,100,100,100
1681385723706029555,100,100,100,100
1681385723707718154,100,100,100,100
1681385723709406837,100,100,100,100
1681385723711149648,100,100,100,100
1681385723712832233,100,100,100,100
1681385723714537849,100,100,100,100
1681385723716281070,100,100,100,100
1681385723717978570,100,100,100,100
1681385723719662908,100,100,100,100
1681385723721349874,100,100,100,100
1681385723723037309,100,100,100,100
1681385723724726352,100,100,100,100
1681385723726467628,100,100,100,100
1681385723728158602,100,100,100,100
1681385723729857932,100,100,100,100
1681385723731657552,100,100,100,100
1681385723733349113,100,100,100,100
1681385723735098506,100,100,100,100
1681385723736811909,100,100,100,100
1681385723738497904,100,100,100,100
1681385723740188574,100,100,100,100
1681385723741874554,100,100,100,100
1681385723743555877,100,100,100,100
1681385723745236604,100,100,100,100
1681385723746917179,100,100,100,100
1681385723748583742,100,100,100,100
1681385723750270034,100,100,100,100
1681385723751957137,100,100,100,100
1681385723753631000,100,100,100,100
1681385723755353382,100,100,100,100
1681385723757055948,100,100,100,100
1681385723758767171,100,100,100,100
1681385723760483973,100,100,100,100
1681385723762195453,100,100,100,100
1681385723763904208,100,100,100,100
1681385723765624336,100,100,100,100
1681385723767329028,100,100,100,100
1681385723769021866,100,100,100,100
1681385723770711758,100,100,100,100
1681385723772411948,100,100,100,100
1681385723774271094,100,100,100,100
1681385723775964615,100,100,100,100
1681385723777660291,100,100,100,100
1681385723779344348,100,100,100,100
1681385723781030875,100,100,100,100
1681385723782711760,100,100,100,100
1681385723784392354,100,100,100,100
1681385723786102402,100,100,100,100
1681385723787796724,100,100,100,100
1681385723789478532,100,100,100,100
1681385723791219592,100,100,100,100
1681385723793041431,100,100,100,100
1681385723794818332,100,100,100,100
1681385723796710684,100,100,100,100
1681385723798410447,100,100,100,100
1681385723800095151,100,100,100,100
1681385723801828009,100,100,100,100
1681385723803495912,100,100,100,100
1681385723805161154,100,100,100,100
1681385723806844093,100,100,100,100
1681385723808514146,100,100,100,100
1681385723810242569,100,100,100,100
1681385723812008040,100,100,100,100
1681385723813713394,100,100,100,100
1681385723815473499,100,100,100,100
1681385723817189256,100,100,100,100
1681385723818891617,100,100,100,100
1681385723820606851,100,100,100,100
1681385723822299588,100,100,100,100
1681385723823977735,100,100,100,100
1681385723825698147,100,100,100,100
1681385723827407620,100,100,100,100
1681385723829086436,100,100,100,100
1681385723830876439,100,100,100,100
1681385723832538138,100,100,100,100
1681385723834268509,100,100,100,100
1681385723835932336,100,100,100,100
1681385723837688594,100,100,100,100
1681385723839352683,100,100,100,100
1681385723841027594,100,100,100,100
1681385723842739891,100,100,100,100
1681385723844451731,100,100,100,100
1681385723846179872,100,100,100,100
1681385723847884559,100,100,100,100
1681385723849587900,100,100,100,100
1681385723851331802,100,100,100,100
1681385723853024703,100,100,100,100
1681385723854732406,100,100,100,100
1681385723856443312,100,100,100,100
1681385723858245055,100,100,100,100
1681385723859933975,100,100,100,100
1681385723861626416,100,100,100,100
1681385723863311459,100,100,100,100
1681385723864998674,100,100,100,100
1681385723866700969,100,100,100,100
1681385723868386472,100,100,100,100
1681385723870092716,100,100,100,100
1681385723871810816,100,100,100,100
